layer,multiplier,within60_pct,underserved_within60,well_served_within60,gap_pp,gap_widening_pp
baseline,,81.00000718643572,72.75784378609502,89.95108788055215,17.19324409445713,0.0
proxy,2.0,80.01290177522074,70.99450099044404,89.77150908455214,18.777008094108098,1.5837639996509694
proxy,2.5,79.44127454905684,70.03857123059136,89.59965632699132,19.561085096399964,2.3678410019428355
proxy,5.0,76.71159888069803,66.10095940549107,88.12075608823562,22.019796682744555,4.826552588287427
proxy,10.0,72.86802511072584,60.56335685984749,86.01195840426362,25.448601544416135,8.255357449959007
sentinel1,2.0,80.65872350864855,72.1155883738514,89.92445147741435,17.808863103562956,0.6156190091058278
sentinel1,2.5,80.45324817048599,71.74633314030788,89.8886650818318,18.14233194152392,0.9490878470667923
sentinel1,5.0,79.36175033154072,69.95391508650017,89.52179904809348,19.56788396159331,2.3746398671361817
sentinel1,10.0,77.09598640195001,66.47567724525763,88.50999122770163,22.034313982444004,4.841069887986876
