kabupaten,capacity_per_10k,baseline_within60_pct,s1_moderate_within60_pct,s1_severe_within60_pct,pp_drop_moderate
Barito Kuala,24.634129590314195,84.7601594046108,59.53897396957307,0.0,25.221185435037732
Banjar,30.149537423894454,73.9865590709344,66.71640299463317,0.0,7.270156076301234
Tanah Laut,31.504448654398896,83.91054441875642,83.64539708724071,0.0,0.26514733151570624
Tapin,33.051934041058594,82.94347571123187,77.53583848397827,0.0,5.407637227253602
Tabalong,34.630528432990054,75.58476367444058,74.65627499021642,0.0,0.9284886842241633
Tanah Bumbu,39.64359824086375,71.06076443032137,69.5532296679765,35.869984864434024,1.507534762344875
Hulu Sungai Utara,40.99878935167675,83.04205594473277,82.3384659630875,0.0,0.7035899816452655
Hulu Sungai Tengah,41.04495031826986,94.08783005711805,88.67159085376109,0.0,5.416239203356966
Hulu Sungai Selatan,46.74132638591816,82.61817092109291,80.30298158257597,0.0,2.3151893385169444
Balangan,46.935206971716056,70.35746923589487,65.50351195603909,0.0,4.853957279855777
