trial,pop_disconnected_pct
0,89.29648750798957
1,90.6005163371286
2,89.64422726394524
3,88.61281666008097
4,88.24158464253499
5,89.10609011401314
6,88.22033307689446
7,87.4551699094458
8,89.72686554471949
9,89.69843368290607
10,88.81838746472494
11,89.80322721236327
12,88.3728857784001
13,88.465511894921
14,88.39769668895416
15,88.63823937772432
16,89.60719510691987
17,88.97949360150031
18,89.92749310990179
19,91.403007552307
20,89.14731947750366
21,89.51123716264897
22,88.91393475250533
23,89.36539912817092
24,88.66243867033754
25,89.67974487540377
26,89.27915012241718
27,89.97820529815128
28,90.19570952765568
29,90.76424322995545
30,90.74326718362398
31,89.49803943835742
32,88.84773119370423
33,90.23486425087516
34,90.26508109216898
35,90.92028440584222
36,88.7974017285602
37,88.96911071802518
38,87.93049856291091
39,88.54147967809143
40,87.85173437621448
41,89.70724922163532
42,89.77536845345402
43,88.5481045750513
44,89.9851796860451
45,88.32388043404929
46,89.37867820053452
47,90.05471281666854
48,90.12372927504425
49,90.14808592039323
50,89.19214216307768
51,88.90654865063844
52,89.21507382838037
53,89.34278939425054
54,89.74826828553776
55,88.69622131869997
56,88.11021672127625
57,89.63320273891894
58,88.09864437233104
59,89.13179149003172
60,89.66603704202348
61,88.81981584450412
62,87.51143815255969
63,90.35737037402122
64,90.54925462840733
65,88.20446249244122
66,89.70946900220864
67,90.61359452907088
68,90.08201194756496
69,91.54332828794365
70,88.43516410873025
71,89.18540356350124
72,88.25080259405841
73,89.78523605726518
74,91.04186886718902
75,89.48632062655139
76,89.34252653590373
77,90.08965526494116
78,89.57162892610268
79,88.5403270188783
80,90.42451945248654
81,90.86479710086513
82,89.84439448467062
83,89.75305901354156
84,90.10367230347612
85,89.81393448351632
86,89.54526296204403
87,91.05658781804523
88,90.04792645862784
89,89.51922994184709
90,91.15720102641194
91,90.71730269368324
92,88.5053673120299
93,89.56899588792355
94,89.39348767210572
95,90.31582766968441
96,89.4682098253214
97,89.96042031638423
98,90.08211499593683
99,89.60772938902663
100,88.55141449557236
101,90.23226855495378
102,89.4050641938714
103,86.51198271822778
104,88.76532953417676
105,89.03434044944039
106,90.68162242027115
107,89.80756528111081
108,87.84114966748626
109,88.78103574322064
110,88.65413757592889
111,89.48765367199518
112,89.11075305149019
113,90.55752610865105
114,88.39107767786685
115,89.34319145214852
116,90.40025346076688
117,90.5744840751954
118,89.33115973699937
119,88.4078745715252
120,88.28825609813593
121,91.08564194197072
122,90.64394599382007
123,88.771360060181
124,89.45865252999299
125,91.04116255968825
126,89.86487147037562
127,89.26079196155085
128,89.14711234715595
129,90.2056582413265
130,89.77173013392716
131,88.85658229334496
132,90.87721776554258
133,90.93383399579143
134,88.6783941052185
135,90.7836773946042
136,89.56470733915245
137,89.51675563104939
138,91.25992958151228
139,89.22878758374465
140,89.39007585392964
141,89.21700773207692
142,89.54280759498057
143,88.69340929084967
144,89.40700436990947
145,89.9578406772151
146,88.38985044005439
147,89.5321258690416
148,89.08499758307568
149,89.38996434025623
150,89.64378940966581
151,88.9573902395962
152,89.25715190456476
153,88.30111890519075
154,87.99304484730604
155,89.40631160077413
156,90.19306451152629
157,90.06466751840698
158,89.4698047096242
159,90.26821335037472
160,89.46903686561595
161,89.25581880043023
162,90.43001673953232
163,89.28189842125046
164,89.42703422615149
165,90.14588475587747
166,89.93419090276727
167,90.18433879613112
168,89.19913103621356
169,90.81377706114989
170,88.74925325212614
171,90.33233522505795
172,89.89763209140081
173,88.87018754775406
174,90.28685920942235
175,90.139797062055
176,90.34344867954917
177,88.28642449112871
178,90.35573866895508
179,89.1818799501062
180,89.43307362283069
181,88.96046321160348
182,88.50128900102082
183,89.19596589125929
184,89.78448142912792
185,90.72820144038015
186,87.92605785433481
187,88.83743195343496
188,89.15573858455396
189,89.20468211615034
190,89.27608055209507
191,89.85192533117088
192,88.88252283044044
193,88.19264786520469
194,89.78628983686292
195,91.13088811585823
196,89.04300062031666
197,89.505427720095
198,90.22819916429722
199,89.93748145075398
