trial,largest_component_pct
0,3.5528090302795174
1,3.2956455873930794
2,3.4253357719521884
3,2.6204068059635315
4,2.468916846791923
5,2.6095069186572815
6,3.0830054129948827
7,3.022224685473591
8,3.5651868684069536
9,3.1439708843688225
10,3.0693343678989082
11,3.765264460825066
12,3.166324890539267
13,3.2834524931182916
14,3.878512442498476
15,3.4063071551294133
16,3.021116222357701
17,3.6304014483918046
18,1.6322119381477582
19,3.2344953721664913
20,3.733673262022206
21,3.3664024829573798
22,3.3139352288052617
23,3.2468732102939275
24,3.5735003417761275
25,3.723697093979198
26,3.77136100796246
27,3.4118494707088622
28,4.098911858707901
29,3.662177391047313
30,3.3157826673317445
31,3.3845073805169132
32,3.413696909235345
33,3.973840270465
34,3.433095013763417
35,3.726283507916274
36,3.9051155572798315
37,3.979013098339153
38,2.9983927284819596
39,3.302665853793715
40,2.0639583217868425
41,3.3492213046610875
42,3.4059376674241166
43,3.251676550462783
44,3.4205324317833323
45,3.6618079033420163
46,3.084483363816069
47,3.08873247242698
48,2.849119695542131
49,2.319828557704742
50,2.8579874004692494
51,2.5644294186110956
52,3.5247279646769756
53,3.2267361303552624
54,3.5583513458589664
55,2.930776478412681
56,4.118125219383325
57,3.2385597369247536
58,3.6509080160357663
59,2.770049326608657
60,3.661623159489368
61,4.052541151693178
62,3.21177187829075
63,3.093720556448484
64,3.3693583845997526
65,2.400746365164699
66,2.396497256553788
67,3.1995787840159617
68,3.0540006281290992
69,3.5075467863806833
70,1.9760202479262503
71,3.333887564891278
72,3.3717600546841804
73,3.5914204954830127
74,2.391324428679636
75,3.1738993884978477
76,2.947403425151028
77,3.308208169373164
78,2.801825269264165
79,3.956659092168708
80,3.6998651369875666
81,3.1683570729183987
82,3.0951985072696706
83,3.297123538214266
84,2.828613127898169
85,4.468030076299211
86,3.162260525781005
87,3.3534704132719986
88,3.505145116296255
89,4.216778436697519
90,3.497570618337675
91,2.2352158731918195
92,1.9093277171202128
93,2.920985054222321
94,2.8494891832474276
95,3.5548412126586486
96,3.0780173289733783
97,3.1218016220510263
98,3.6442572373404274
99,3.8399009772949806
100,3.73219531120102
101,2.935025587023592
102,2.2882373589018825
103,2.760073158565649
104,3.847290731400913
105,3.4035359973396884
106,3.0442092039387387
107,2.481848916477304
108,2.6289050231853537
109,2.594357922740121
110,3.4999722884221027
111,3.1273439376304752
112,4.148607955070295
113,1.34567422269024
114,3.569066489312568
115,3.1604130872545215
116,3.2483511611151137
117,3.1036967244914924
118,2.8470875131629994
119,3.364739788283545
120,3.1707587430028266
121,3.3850616120748582
122,2.0151859446876905
123,2.785752554083763
124,3.259990023831957
125,3.126604962219882
126,3.506253579412145
127,3.279572872212677
128,3.3372129542389475
129,3.58846459384064
130,3.1493284560956236
131,3.503667165475069
132,3.3303774316909607
133,3.443994901069667
134,3.0286907203162814
135,2.2368785678656544
136,3.5276838663193484
137,3.1120101978606662
138,3.854865229359493
139,2.562212492379316
140,3.54597350773153
141,3.854865229359493
142,4.119418426351863
143,2.9836132202700956
144,3.336104491123058
145,3.079495279794565
146,3.5760867557132037
147,3.584030741377081
148,3.3095013763417023
149,3.80295220676532
150,2.876831273439376
151,3.288625320992444
152,3.272367861959393
153,3.5522547987215725
154,3.355133107945833
155,3.184429788098801
156,2.9922961813445657
157,1.783886641172015
158,3.4266289789207263
159,3.234310628313843
160,3.1742688762031444
161,3.1304845831254964
162,2.72183118106745
163,1.908958229414916
164,3.031461878106006
165,2.8862532099244396
166,3.2771712021282493
167,2.7661697057030428
168,2.9348408431709436
169,1.371353618208354
170,4.014483918047627
171,2.8969683533780413
172,1.829518372776146
173,3.6376064586450885
174,3.0652700031406455
175,2.7142566831088697
176,3.2241497164181863
177,1.795525503888858
178,3.284376212381533
179,3.898649522437141
180,4.357922740120823
181,3.7813371760054686
182,2.3497570618337673
183,2.9878623288810067
184,1.6700844279406604
185,2.2913780043969036
186,3.7735779341942397
187,3.1805501671931866
188,3.435866171553142
189,3.166879122097212
190,2.992480925197214
191,3.373607493210663
192,3.674924716880046
193,3.0745071957730605
194,3.2474274418518725
195,2.887176929187681
196,3.0329398289271925
197,3.3144894603632062
198,2.617081416615862
199,3.5528090302795174
