capacity_class,total_pop,baseline_within60_pct,s1_moderate_within60_pct,s1_severe_within60_pct
underserved,2286717.7050169776,68.61437432716161,62.10649738223437,2.565622687346537
well-served,2195766.939729536,88.85569683653605,87.3203906255508,6.303302549504337
