threshold,n_removed,largest_component_pct,facility_sources,any_access_node_pct
0.0,81578,9.029355798185815,17,9.029355798185815
0.25,66863,9.168652663082636,17,9.168652663082636
0.5,53562,9.316632489053926,19,9.316632489053926
0.75,42674,10.399970440983576,22,10.399970440983576
1.0,0,100.0,355,100.0
